batch_index,benchmark_seed_index,source_panel_row,query_position,target_index,target_hash,seed_canonical_smiles,seed_heavy_atoms,sampling_seed,raw_proposals,token_decodable_proposals,token_decodable_fraction,rdkit_valid_proposals,rdkit_valid_fraction,rdkit_unique_valid_molecules,rdkit_unique_fraction_of_raw,rdkit_unique_fraction_of_valid,release_policy_accepted_proposals,release_policy_accepted_fraction,release_policy_unique_molecules,release_policy_unique_fraction_of_raw
23,47,6855,6855,32094,1eb4c681f09c99d083e1da3722335bca1a0f38f306933bd20546a6d800f80195,COc1ccc2c(c1)CN(C(=O)c1cccc(-n3ccnc3)c1)CC2,25,3297553673991420623,1000,1000,1.0,888,0.888,10,0.01,0.01126126126126126,888,0.888,10,0.01
24,48,351,351,20969,d1a6d677edc99443b4f3750110117261fe585f875b9fdf8e521d9519970b5dad,CNC(=O)c1ccc(Nc2cc(Br)cnc2Cl)cc1,19,3543559909278697820,1000,1000,1.0,1000,1.0,14,0.014,0.014,1000,1.0,14,0.014
24,49,6198,6198,10937,8b6bbe2b653fc78a1c8f40b793ed0db014d39ce77b7a4462679af865438fd185,COC(=O)C(C)(NC(=O)CC1CN(C(=O)[O-])CCO1)C1CC1,22,321161279300074679,1000,1000,1.0,1000,1.0,10,0.01,0.01,1000,1.0,10,0.01
25,50,4489,4489,14992,e0a0e36bfc51906e28eae08254195d0086f95b0300752bc6fef5baa624fd8464,CSCc1ccc(N2CCCC3(CC[NH+]3Cc3cccc(F)c3)C2)nc1,26,1820147729456058309,1000,1000,1.0,985,0.985,44,0.044,0.04467005076142132,985,0.985,44,0.044
25,51,8626,8626,20660,5a94731e49211d0a33d8ee454e69e2be2bc219a725ffb0d91f941e9469effcba,CCCCC(=O)NCC1CC(NC(=O)c2n[nH]c3c2CCCC3)C1,24,8128535905161380930,1000,1000,1.0,1000,1.0,4,0.004,0.004,1000,1.0,4,0.004
26,52,9346,9346,49886,06a22f7a41ec283a4df246323400e6c8ede50a7bb951fd58f89ae993f8062db4,COC(=O)c1cc(Nc2cnc(C)c(N)c2)ccc1Cl,20,633293637954903962,1000,1000,1.0,1000,1.0,33,0.033,0.033,1000,1.0,33,0.033
26,53,8793,8793,48440,91b9cbc2359c7605e65f3ed57b964806401c1a139e991b76b5cd505335120aee,Cn1c(SCC(=O)NCc2ccccc2)nnc1-c1ccc(O)cc1,25,3278652725343152033,1000,1000,1.0,1000,1.0,4,0.004,0.004,1000,1.0,4,0.004
27,54,6315,6315,7451,85f07ee6dc640545dfbfff668366512a681190118d1b2ca156fd3d08b76794ea,C1=CCC(C[NH+]2CC3CCCC3(c3nc(-c4cnccn4)no3)C2)CC1,26,868797804882369315,1000,1000,1.0,997,0.997,46,0.046,0.04613841524573721,997,0.997,46,0.046
27,55,8430,8430,15499,539eec552f13c20fb039f9253392a6dfad47c31b8edf61c44d4f07b2bbdf92d6,COc1cc2c(cc1OC)C(=O)C(CC1CCN(CC3OCCO3)CC1)C2,27,2642183922345797740,1000,1000,1.0,999,0.999,114,0.114,0.11411411411411411,999,0.999,114,0.114
28,56,2224,2224,49369,e613cbc461d3ebca5be2168d31e605c759b4255d6ec978bd7290ff5cdc3ac85b,COCCN1CCN(CC(=O)NC2CC[NH+](C3CC3)CC2)CC1=O,24,3012262274020446444,1000,1000,1.0,994,0.994,11,0.011,0.011066398390342052,994,0.994,11,0.011
28,57,8770,8770,43978,f44f53a7cb8cddbe5c4cc80e6c97c12ec053f92407f4166ca44a1b4e9242f85b,COC(C(=O)N1CCC(C2CCN(C(C)=O)CC2)C1)C(C)C,22,7456128368938006053,1000,1000,1.0,992,0.992,8,0.008,0.008064516129032258,992,0.992,8,0.008
29,58,1631,1631,9508,46982f151e059a5987ef6a9cb9c7ffe317f17687b04d5422052fbbdb3951dd07,O=C(CCn1cnccc1=O)NCC(=O)Nc1ccc2c(c1)OCCO2,26,2750329788936535860,1000,1000,1.0,546,0.546,17,0.017,0.031135531135531136,546,0.546,17,0.017
29,59,965,965,12464,8433aaa4b7a25c5662e8a2253279effda0e992281591a07a15afae8c15881b85,CC(C)c1cc([N-]S(=O)(=O)c2ccoc2)no1,17,4032415390377151920,1000,1000,1.0,986,0.986,10,0.01,0.010141987829614604,986,0.986,10,0.01
30,60,5025,5025,36106,3732db871edcb324dca04723feb0c5638603ad603f08a3d0833c8b1e31f3c280,Cn1c(-c2cc3c(s2)C[NH2+]CC3)nc2cc(F)ccc21,20,2926144795667612787,1000,1000,1.0,893,0.893,21,0.021,0.023516237402015677,893,0.893,21,0.021
30,61,6962,6962,20514,c3dd9700a64f1d055de9076f344d46903114ef00eb1cf193d8c74b1331d9115b,CCC(Cl)OC(=O)OC1C2(C)CCC(C2)C1(C)C,18,5290994689820200910,1000,1000,1.0,993,0.993,140,0.14,0.14098690835850958,993,0.993,140,0.14
31,62,5372,5372,33273,dc918ed2dc5add9396014b641df1d38f8683ff559c5f5c8cddb46a037f8001f9,c1cc(CSCCC2CCOCC2)no1,15,5894336271623277642,1000,1000,1.0,1000,1.0,1,0.001,0.001,1000,1.0,1,0.001
31,63,9663,9663,37323,4bca116ffd3c13da675eb2c2b4c66a73c9e6f44bf9684e5a4bdb1801e06ea625,COc1cnc(C(=O)NCC(C)NC(=O)C2CC23CC3)c(F)c1,23,5086105695356760705,1000,1000,1.0,1000,1.0,2,0.002,0.002,1000,1.0,2,0.002
32,64,7640,7640,42360,dc85b823c092cc2af536f2dc28dbc3e15751add81373f43967694ce332b66835,COC(=O)C(C)c1ccc(Nc2cnc(SC)c(C)c2)cc1,22,5533976841854605016,1000,1000,1.0,1000,1.0,6,0.006,0.006,1000,1.0,6,0.006
32,65,280,280,18936,5635d171906bb84712fe59b44549465cde8ca41969122692ae2df05db99736e4,CCN(CC)C(=O)c1cc(Nc2cncc(OC)c2)ccc1Cl,23,939911936021065419,1000,1000,1.0,1000,1.0,21,0.021,0.021,1000,1.0,21,0.021
