batch_index,first_benchmark_seed_index,seed_count,raw_proposals,token_decodable_proposals,rdkit_valid_proposals,rdkit_unique_valid_molecules,release_policy_accepted_proposals,release_policy_unique_molecules,generation_seconds,token_decode_seconds,rdkit_validation_seconds,release_policy_seconds,serialization_seconds,raw_proposals_per_second,raw_smiles_per_second,valid_unique_molecules_per_second,policy_unique_molecules_per_second
32,64,2,2000,2000,2000,27,2000,27,0.7708161849877797,0.015288747032172978,0.24927906901575625,0.7419051050092094,0.004241789982188493,2594.6523165334256,2544.1896094721824,26.077281446295796,15.191675855192923
33,66,2,2000,2000,1877,883,1877,883,1.4134443999500945,0.02998036000644788,0.26221304101636633,0.8168841149890795,0.0054754799930378795,1414.9831433557736,1385.5935241544662,517.6949053874921,350.04651274288705
34,68,2,2000,2000,1945,44,1945,44,1.121944320970215,0.01587151299463585,0.21395781903993338,0.7834283089614473,0.004271771991625428,1782.6196564464767,1757.753706969228,32.54982807380126,20.606949967150634
35,70,2,2000,2000,1989,70,1989,70,1.4994220819789916,0.016569763014558703,0.2501013490254991,0.9318607469904236,0.004317628045100719,1333.847236236729,1319.2683104495914,39.635507478913354,25.945587482419594
36,72,2,2000,2000,1993,17,1993,17,0.9720893370104022,0.016194352007005364,0.24622015503700823,0.92026587104192,0.0042270710109733045,2057.424069839991,2023.710420626776,13.77071451164364,7.8894741655676
37,74,2,2000,2000,2000,7,2000,7,0.8341661450103857,0.012934642028994858,0.1905980869778432,0.7133014390128665,0.004166783997789025,2397.6038969731853,2360.994146859437,6.745694897885968,3.997714876410595
38,76,2,2000,2000,1424,299,1424,299,1.3675877589848824,0.017467720026616007,0.30391595303080976,0.869546627975069,0.004975239979103208,1462.4290008887895,1443.985479503956,177.03082143813913,116.86452586462072
39,78,2,2000,2000,2000,36,2000,36,0.7041931410203688,0.013494466023985296,0.23922081902856007,0.7965993940015323,0.004362873965874314,2840.129906834963,2786.7277912692134,37.62115477208358,20.530276276995213
40,80,2,2000,2000,1999,4,1999,4,0.7358586969785392,0.011010606947820634,0.21660285705002025,0.6431471750256605,0.004144000995438546,2717.913110508944,2677.844690477729,4.151650833321858,2.4896998998865025
41,82,2,2000,2000,1952,34,1952,34,1.2405499300220981,0.024456306011416018,0.26839115598704666,0.8231447230209596,0.004343834996689111,1612.1882332977711,1581.019874076742,22.17298671363862,14.427919527931266
42,84,2,2000,2000,1998,125,1998,125,0.853947777999565,0.02230715600308031,0.22650997701566666,0.732968227006495,0.004626578011084348,2342.0635916228343,2282.440785656064,113.35144848286193,68.09268591974985
43,86,2,2000,2000,1992,6,1992,6,0.5716948710032739,0.01170063397148624,0.2018584129982628,0.6504284559632652,0.004097473982255906,3498.369674876,3428.206050518897,7.640840577386495,4.179197369087618
44,88,2,2000,2000,1844,120,1844,120,1.456599619006738,0.015022067003883421,0.2618905549752526,0.8514597900211811,0.004609809955582023,1373.060911112835,1359.0449359452869,69.2236242483954,46.42216571807561
45,90,2,2000,2000,1966,47,1966,47,1.6768431320087984,0.02315951301716268,0.27601255394984037,0.9343082560226321,0.0044565360294654965,1192.7174115589878,1176.468757770349,23.785242150141766,16.149407695312444
46,92,2,2000,2000,1991,29,1991,29,1.0459750049631111,0.022669992002192885,0.23274741700151935,0.7667366630048491,0.004429880005773157,1912.091580114321,1871.5289040603018,22.28382437823193,14.022335608986372
47,94,2,2000,2000,1961,20,1961,20,1.2836134410463274,0.029780815006233752,0.2835359710152261,0.945411050983239,0.0043639299692586064,1558.1014782532316,1522.7720014636348,12.524028702696121,7.86676445553058
48,96,2,2000,2000,2000,9,2000,9,1.0498403580277227,0.014792923000641167,0.1999687749776058,0.739265090029221,0.004333051037974656,1905.0515487490784,1878.5811374111233,7.116863330449555,4.491315713123602
49,98,2,2000,2000,1998,11,1998,11,1.083604633982759,0.016858490998856723,0.24559284700080752,0.8970283440430649,0.004541363974567503,1845.691627073479,1817.4166444999344,8.172022730822695,4.903961889177156
