query_position,target_index,target_hash,seed_canonical_smiles,seed_scaffold,seed_heavy_atoms
126,727016,8fddaac5703b94439be338aaf988bec233c07f5ebbe545cf36d8408a358087a5,CN(Cc1cccc([N+](=O)[O-])c1)C1CC2CCC(C1)N2,c1ccc(CNC2CC3CCC(C2)N3)cc1,20
127,453211,e3ff8eb129ed5e8ab7349ea90e7f93be0a3e932383cc1a34764752ef275f716f,CN=CC(=CN)c1cnc2[nH]cc(C(=O)c3cc(NS(=O)(=O)c4ccc(C(F)(F)F)cc4)ccc3F)c2c1,O=C(c1cccc(NS(=O)(=O)c2ccccc2)c1)c1c[nH]c2ncccc12,38
128,665645,f051dd55a4ff123a0914e9c4703b478fcea75493c48e9cb1c0e14b2a2eb48fe2,O=[N+]([O-])c1ccccc1CSc1n[nH]c(-c2ccccc2)n1,c1ccc(CSc2n[nH]c(-c3ccccc3)n2)cc1,22
129,999160,111d82a9d2b7606c2324ef24e49a4ad6695cb75d39ccb3ae087b5596b0684af9,C[NH+](CCOCCO)CC1CCCN1C(=O)c1ccc2n[nH]nc2n1,O=C(c1ccc2n[nH]nc2n1)N1CCCC1,25
130,915353,9d5e012f159675f861a4084e3b416b610f9801290a52c4cb3f9846f214fc19fc,CC(C)(C)c1cn2nc(N3CCCC4(CC=CCC4)C3)sc2n1,C1=CCC2(CC1)CCCN(c1nn3ccnc3s1)C2,23
131,438232,18b2ba2760ca6b0c7fc6d7c61d2a45d50af13e1633db09e391368b9feb795f56,c1ccc(CN(Cc2nccs2)c2cc(C3CCC[NH2+]C3)ncn2)cc1,c1ccc(CN(Cc2nccs2)c2cc(C3CCC[NH2+]C3)ncn2)cc1,26
132,571766,eab03f4dbd85ae653f1f8b1b3bbf68c230f2027a043c00d5d1d033086b2b87d0,NC(=O)C(c1ccc(F)cc1)N1CCCN(C(=O)C23COCC2C3)CC1,O=C(N1CCCN(Cc2ccccc2)CC1)C12COCC1C2,26
133,120180,efe21b0c0b6508d643c329e5a0f5783efe3adad8a8fe19b55096807b029fe9a7,Cc1nonc1C(=O)N1CC(NC(=O)C(C)(C)F)CCC1C,O=C(c1cnon1)N1CCCCC1,22
134,215865,0b1739dc204f0f53d46110827e90ad3dfe757ab19793c5e61b8ecd6204e99024,Cn1cc(CC2CCCC2NC(=O)c2cccc3c2OCCCO3)cn1,O=C(NC1CCCC1Cc1cn[nH]c1)c1cccc2c1OCCCO2,26
135,828145,cf70c93be99e723cf012fc6746fae3a3d866dcb8e60ee6e102887766cf1c290c,COc1cccc(CNC(=O)C(=O)N2CCCC(CNC(N)=O)C2)n1,O=C(NCc1ccccn1)C(=O)N1CCCCC1,25
136,214612,de0242635b010ebc0c12eebe7a8390578e0ca0e1bd2fa116add55771dbd0b2d7,C=CCC[NH+]1CCC2(CCN(C(=O)C3CCOCC3)C2)CC1,O=C(C1CCOCC1)N1CCC2(CC[NH2+]CC2)C1,22
137,296195,3f12dc8cb7d97d12f28c1caf352a2d9a584d5dc402df8ef6709e4e2352f2b878,COc1cc(C(=O)N(C)C)ccc1NC(=O)c1ccc2c(C=O)c[nH]c2c1,O=C(Nc1ccccc1)c1ccc2cc[nH]c2c1,27
138,788404,568af9415b29837ffffcfb5588e14e822784e8798fd8fd0f6b9941ebd7a5a5f7,Cc1nc(NC(=O)CCc2c(C)nc(C)[nH]c2=O)n[nH]1,O=C(CCc1cnc[nH]c1=O)Nc1nc[nH]n1,20
139,901366,c781c58d90c0445248218a642088c7a6aa4e37df74f36ba3558241333d247f06,COC(C)C[NH+]1CCC2CN(C(=O)C3=CCOCC3)CC2C1,O=C(C1=CCOCC1)N1CC2CC[NH2+]CC2C1,22
140,282770,d6d38f0cb4a4af20e2532f4c535292c2cfbd97bdbee908421b2be975818ee3da,Cc1[nH]ncc1CNc1cc(S(N)(=O)=O)ccc1N,c1ccc(NCc2cn[nH]c2)cc1,19
141,570390,313e7e67556d533990625d2ce04021b7cb2b4459f85b87917cad345be7ca8dd5,N#Cc1cncc(S(=O)(=O)Nc2ccnn2-c2cccc(F)c2)c1,O=S(=O)(Nc1ccnn1-c1ccccc1)c1cccnc1,24
142,128501,1ad6f56bde4f02bd5cadadae6412692ff782f03350c9e9dbe9fb944051da8e74,CC(NC(=O)c1ccc2cn[nH]c2c1)C1CCNC1,O=C(NCC1CCNC1)c1ccc2cn[nH]c2c1,19
143,353628,dfec926ba2f55a80bb06af0244755eaf5173a259afbd3f7d09d72598157945de,CCn1c(-c2scnc2Cl)nnc1N1CCCC(C(C)(C)C(=O)[O-])C1,c1ncc(-c2nnc(N3CCCCC3)[nH]2)s1,25
144,245686,1d44382e88183a3ccf2122ec7ad95e65824a5a7246c27344c5e3d14e5e42ba66,CNC(=O)c1cc(C2CC2)nc2c1c(C1CCCN(C(=O)c3ccccc3C)C1)nn2C,O=C(c1ccccc1)N1CCCC(c2n[nH]c3nc(C4CC4)ccc23)C1,32
145,661708,514d1a002ee020c4cd25a190a2916d41856c5095dcc0e1ac56387687a422113f,CCC(C)Oc1cc(C=Nn2c(=S)[nH]c3ccccc3c2=O)ccc1OC,O=c1c2ccccc2[nH]c(=S)n1N=Cc1ccccc1,27
146,646147,00022e04902f91d96f5af1352b56308456e9a4dfa3660dc3d79fd32ed9664cee,COC1CN(C(=O)c2cccs2)CC1NC(=O)c1ccc(C)cc1,O=C(NC1CCN(C(=O)c2cccs2)C1)c1ccccc1,24
147,95832,2492c73f5b0d423076cd623ce86e6b0a805fa7547a4f5b431446bcba5edd54f1,CC(C)(C)c1cnc2cnccc2c1,c1cnc2cnccc2c1,14
148,915067,ab5ab82e15fb9b5ab40c4dea534bc6cd700be4fd0d59c6fd54fd755ced2450a2,CC(C)(Cc1ccc(F)cc1)Nc1ccc(Cl)nn1,c1ccc(CCNc2cccnn2)cc1,19
149,99583,66b10e0440045af3de2c7bfcd0770c96740f2e88698430014e2e04db1dfad7b2,COC(=O)c1cc(C(=O)[N-]c2sc3c(c2C#N)CCC(C(C)(C)C)C3)no1,O=C([N-]c1cc2c(s1)CCCC2)c1ccon1,27
150,917059,20d7c28dd8b1788cbd980cf8f399f35950779bc892019eb7d1d96325442a637d,CC(C)(C[NH2+]Cc1cnc2c(F)cccc2c1)C1CCOCC1,c1ccc2ncc(C[NH2+]CCC3CCOCC3)cc2c1,23
151,839844,4b1c2ac45cd0bb183e15268a1f9a0cbfc3b41434a52a7feb1691284b51ee881c,COCC1COCCN1C(=O)C(=O)N1CCCC(c2cc[nH]n2)C1,O=C(C(=O)N1CCCC(c2cc[nH]n2)C1)N1CCOCC1,24
152,21526,f972720d6873865da2fe1f832ca1ff0f26705971e0d407e06810e1fe14ae6cea,C=CC(C)(C)C(=O)NCC1CN(c2cc(C)nc(CC)n2)CC1C,c1cc(N2CCCC2)ncn1,24
153,42302,62c6e7e7bb046363039f07a211d4f1aa89eeb9e9aa8744427b713967d1b4d6b9,CCC(C)c1cc(-c2ccc(Cl)cc2)n[nH]1,c1ccc(-c2cc[nH]n2)cc1,16
154,308360,c234ea8a6fab9f188d2add0b5811c15b735433ef3b59a3159293ec00730e9e57,CC(=O)C=C(C)NC1CC2CCC(C1)[NH+]2CC1CC1,C1CC2CCC(C1)[NH+]2CC1CC1,19
155,2199,a700d3dd98e5a8f33e10bbde18a0a0e8fbb6858bb3c921122bff3bcf91d97908,CC1CC1c1cc(NC(=O)CNC(=O)c2cc3c(s2)CCCC3)n[nH]1,O=C(CNC(=O)c1cc2c(s1)CCCC2)Nc1cc(C2CC2)[nH]n1,25
