analysis,space,transform,train_cores,support_tier,alignment_mean,alignment_count,null_alignment_mean,null_alignment_count,alignment_gain_mean,alignment_gain_count
alignment_all,graph_256,Brc1ccccc1[*:1]>>Cc1ccc([*:1])cc1F,2,2-4,0.8983818860716775,2,-0.008612954121602252,2,0.9069948401932797,2
alignment_all,graph_256,Brc1ccccc1[*:1]>>Cc1cccc([*:1])c1,8,5-9,0.9321869798281419,1,0.06130580561599718,1,0.8708811742121447,1
alignment_all,graph_256,Brc1ccccc1[*:1]>>Cc1cccc([*:1])c1C,2,2-4,0.9296016920091006,3,-0.0667099267985007,3,0.9963116188076014,3
alignment_all,graph_256,Brc1ccccc1[*:1]>>Cc1ccccc1[*:1],7,5-9,0.9523814300994103,1,-0.18083169438015662,1,1.133213124479567,1
alignment_all,graph_256,Brc1ccccc1[*:1]>>Clc1ccc([*:1])c(Cl)c1,3,2-4,0.966049128801233,1,-0.15222745740415597,1,1.118276586205389,1
alignment_all,graph_256,Brc1ccccc1[*:1]>>Clc1ccc([*:1])cc1,4,2-4,0.9051787833155155,1,-0.13801442771581718,1,1.0431932110313327,1
alignment_all,graph_256,Brc1ccccc1[*:1]>>Clc1cccc([*:1])c1,6,5-9,0.9092449991477644,4,0.04984211308451256,4,0.8594028860632518,4
alignment_all,graph_256,Brc1ccccc1[*:1]>>Clc1ccccc1[*:1],7,5-9,0.9668707987250806,2,0.0727946741908132,2,0.8940761245342674,2
alignment_all,graph_256,Brc1ccccc1[*:1]>>FC(F)(F)c1cccc([*:1])c1,2,2-4,0.8824310835979217,1,-0.056912089214012626,1,0.9393431728119342,1
alignment_all,graph_256,Brc1ccccc1[*:1]>>Fc1ccc([*:1])cc1,5,5-9,0.9282095669986409,3,-0.07521258018662079,3,1.0034221471852616,3
alignment_all,graph_256,Brc1ccccc1[*:1]>>Fc1ccc([*:1])cc1F,2,2-4,0.9440943360642124,2,-0.09512455461234379,2,1.0392188906765563,2
alignment_all,graph_256,Brc1ccccc1[*:1]>>Fc1cccc(F)c1[*:1],3,2-4,0.9632774781697041,1,0.042778641527996736,1,0.9204988366417074,1
alignment_all,graph_256,Brc1ccccc1[*:1]>>Fc1ccccc1[*:1],7,5-9,0.948963177590892,4,-0.024611109620608577,4,0.9735742872115006,4
alignment_all,graph_256,Brc1ccccc1[*:1]>>N#Cc1ccc([*:1])cc1,4,2-4,0.9500345363449573,1,-0.19435663041033505,1,1.1443911667552924,1
