analysis,minimum_train_cores,transformations,observations,metric,space,macro_estimate,ci_low,ci_high,positive_transformation_fraction
retrieval_mmp_direction,2,1141,2048,exact_derivative_recall_at_10,graph_256,0.992696465089103,0.9880222027461291,0.9969325153374231,
retrieval_mmp_direction,2,1141,2048,exact_derivative_recall_at_10,mean_node_128,0.9983932223196026,0.9959100204498977,1.0,
retrieval_mmp_direction,2,1141,2048,exact_derivative_recall_at_10,hybrid_w1,0.9962021618463335,0.9925503943908852,0.9991235758106923,
retrieval_mmp_direction,2,1141,2048,exact_derivative_recall_at_10,released_hybrid_w3,0.9988314344142564,0.9967864446392053,1.0,
retrieval_mmp_direction,2,1141,2048,exact_derivative_recall_at_10,hybrid_w6,0.9988314344142564,0.9967864446392053,1.0,
retrieval_mmp_direction,2,1141,2048,reciprocal_rank_within_50,graph_256,0.9618769468188841,0.9531701503105422,0.9695865347556573,
retrieval_mmp_direction,2,1141,2048,reciprocal_rank_within_50,mean_node_128,0.9770999559890885,0.9708217705886966,0.9831466695248466,
retrieval_mmp_direction,2,1141,2048,reciprocal_rank_within_50,hybrid_w1,0.979222274949707,0.9728930505661445,0.9852290622514108,
retrieval_mmp_direction,2,1141,2048,reciprocal_rank_within_50,released_hybrid_w3,0.9829841791279129,0.9776405126668055,0.9880249556169803,
retrieval_mmp_direction,2,1141,2048,reciprocal_rank_within_50,hybrid_w6,0.9791635487123941,0.973257815955126,0.9849181007234301,
retrieval_mmp_direction,2,1141,2048,scaffold_retention,graph_256,0.9770669003797837,0.9678644463920539,0.9851007887817704,
retrieval_mmp_direction,2,1141,2048,scaffold_retention,mean_node_128,0.9782354659655271,0.9693251533742331,0.985977212971078,
retrieval_mmp_direction,2,1141,2048,scaffold_retention,hybrid_w1,0.9782354659655271,0.9693251533742331,0.985977212971078,
retrieval_mmp_direction,2,1141,2048,scaffold_retention,released_hybrid_w3,0.9782354659655271,0.9693251533742331,0.985977212971078,
retrieval_mmp_direction,2,1141,2048,scaffold_retention,hybrid_w6,0.9782354659655271,0.9693251533742331,0.985977212971078,
retrieval_mmp_direction,2,1141,2048,mmp_consistency,graph_256,0.95252702307917,0.9415680689453693,0.9630441133508616,
retrieval_mmp_direction,2,1141,2048,mmp_consistency,mean_node_128,0.9687408705813613,0.9595384165936315,0.9780893952673094,
retrieval_mmp_direction,2,1141,2048,mmp_consistency,hybrid_w1,0.97166228454572,0.9628980426526439,0.9798458954133803,
retrieval_mmp_direction,2,1141,2048,mmp_consistency,released_hybrid_w3,0.9753140520011685,0.9669880222027463,0.9833479404031551,
retrieval_mmp_direction,2,1141,2048,mmp_consistency,hybrid_w6,0.971954425942156,0.9633326029798421,0.98086473853345,
retrieval_mmp_direction,2,1141,2048,exact_requested_transform,graph_256,0.9428863569967858,0.9306127665790243,0.9542835232252409,
retrieval_mmp_direction,2,1141,2048,exact_requested_transform,mean_node_128,0.9601226993865029,0.9500365176745543,0.9704937189599767,
retrieval_mmp_direction,2,1141,2048,exact_requested_transform,hybrid_w1,0.9677183756938357,0.958369851007888,0.9766286882851299,
retrieval_mmp_direction,2,1141,2048,exact_requested_transform,released_hybrid_w3,0.9693251533742328,0.9596844872918493,0.9783815366637454,
retrieval_mmp_direction,2,1141,2048,exact_requested_transform,hybrid_w6,0.9637744668419513,0.9536955886649139,0.9737072743207711,
retrieval_mmp_direction,2,1141,2048,seed_retrieved_tanimoto,graph_256,0.6840158632319803,0.6780792583112498,0.6899237961783827,
retrieval_mmp_direction,2,1141,2048,seed_retrieved_tanimoto,mean_node_128,0.6884795922278395,0.6829451720990283,0.6940971947257052,
retrieval_mmp_direction,2,1141,2048,seed_retrieved_tanimoto,hybrid_w1,0.6901760310253173,0.6849470045528103,0.6954024230481555,
