strategy,budget,population,count,mean,standard_deviation,minimum,q10,q25,median,q75,q90,maximum
beam1000_lp06,1000,one_cut_mmp_derivative,17920,0.6892499799756998,0.09554809315214373,0.3636363744735718,0.5614035129547119,0.6231883764266968,0.692307710647583,0.7586206793785095,0.8125,1.0
beam1000_lp06,1000,same_scaffold_non_mmp,12193,0.5666519880311909,0.11204397591222857,0.21276596188545227,0.42105263471603394,0.49152541160583496,0.5681818127632141,0.6428571343421936,0.7058823704719543,1.0
beam1000_lp06,1000,scaffold_changing,131745,0.4573525905959336,0.12729237809633365,0.0,0.3035714328289032,0.3670886158943176,0.4482758641242981,0.5376344323158264,0.6268656849861145,1.0
beam1000_lp06,1000,acyclic_non_mmp,1924,0.3790739870159703,0.14599660751899116,0.09090909361839294,0.18518517911434174,0.2661764845252037,0.37931033968925476,0.4642857015132904,0.5686274766921997,0.8837209343910217
hybrid_b500_s500_t100,50,all_genuine_nonseed,8036,0.5691252950914556,0.14984771302818933,0.03030303120613098,0.37254902720451355,0.4615384638309479,0.5664658546447754,0.6774193644523621,0.7607164680957794,1.0
hybrid_b500_s500_t100,50,one_cut_mmp_derivative,1236,0.7097590508295109,0.09431187164547794,0.4166666567325592,0.5944825112819672,0.6551724076271057,0.7049180269241333,0.7666666507720947,0.8333333134651184,1.0
hybrid_b500_s500_t100,50,same_scaffold_non_mmp,1078,0.626576695045204,0.12181578396922493,0.29411765933036804,0.4727554261684418,0.548545241355896,0.6274510025978088,0.6995282918214798,0.7855580866336825,1.0
hybrid_b500_s500_t100,50,scaffold_changing,5652,0.5295484317104107,0.14150617999100312,0.03030303120613098,0.3529411852359772,0.4324324429035187,0.5223880410194397,0.6212121248245239,0.7142857313156128,0.9607843160629272
hybrid_b500_s500_t100,50,acyclic_non_mmp,70,0.39673244633844923,0.140471065295288,0.1785714328289032,0.2222222238779068,0.31904762983322144,0.3844697028398514,0.4716981053352356,0.5333333611488342,0.8837209343910217
hybrid_b500_s500_t100,100,all_genuine_nonseed,14493,0.5501326634383135,0.14828661485383957,0.021276595070958138,0.3606557250022888,0.44285714626312256,0.5438596606254578,0.6578947305679321,0.7441860437393188,1.0
hybrid_b500_s500_t100,100,one_cut_mmp_derivative,2108,0.7060065423854162,0.09427971856286813,0.4166666567325592,0.5869565010070801,0.6505952477455139,0.7017543911933899,0.7649356722831726,0.8269230723381042,1.0
hybrid_b500_s500_t100,100,same_scaffold_non_mmp,1719,0.6113462692051865,0.11750506886996054,0.2857142984867096,0.464182186126709,0.5354627668857574,0.6111111044883728,0.6827332675457001,0.7587484002113343,1.0
